2021-10-11 22:21:17.207 +06:00 [INF] Worker running at: "2021-10-11T22:21:17.2074872+06:00"
2021-10-11 22:21:47.219 +06:00 [INF] no file to delete
2021-10-11 22:21:47.219 +06:00 [INF] Worker running at: "2021-10-11T22:21:47.2191423+06:00"
2021-10-11 22:22:17.226 +06:00 [INF] no file to delete
2021-10-11 22:22:17.228 +06:00 [INF] Worker running at: "2021-10-11T22:22:17.2281533+06:00"
2021-10-11 22:22:47.237 +06:00 [INF] no file to delete
2021-10-11 22:22:47.238 +06:00 [INF] Worker running at: "2021-10-11T22:22:47.2380097+06:00"
2021-10-11 22:23:17.247 +06:00 [INF] no file to delete
2021-10-11 22:23:17.248 +06:00 [INF] Worker running at: "2021-10-11T22:23:17.2489219+06:00"
2021-10-11 22:23:47.255 +06:00 [INF] no file to delete
2021-10-11 22:23:47.255 +06:00 [INF] Worker running at: "2021-10-11T22:23:47.2555205+06:00"
2021-10-11 22:24:17.266 +06:00 [INF] no file to delete
2021-10-11 22:24:17.268 +06:00 [INF] Worker running at: "2021-10-11T22:24:17.2680141+06:00"
2021-10-11 22:24:47.279 +06:00 [INF] no file to delete
2021-10-11 22:24:47.279 +06:00 [INF] Worker running at: "2021-10-11T22:24:47.2796127+06:00"
2021-10-11 22:25:17.293 +06:00 [INF] no file to delete
2021-10-11 22:25:17.295 +06:00 [INF] Worker running at: "2021-10-11T22:25:17.2952565+06:00"
2021-10-11 22:25:47.310 +06:00 [INF] no file to delete
2021-10-11 22:25:47.310 +06:00 [INF] Worker running at: "2021-10-11T22:25:47.3101775+06:00"
2021-10-11 22:26:17.320 +06:00 [INF] no file to delete
2021-10-11 22:26:17.322 +06:00 [INF] Worker running at: "2021-10-11T22:26:17.3223533+06:00"
2021-10-11 22:26:47.342 +06:00 [INF] no file to delete
2021-10-11 22:26:47.342 +06:00 [INF] Worker running at: "2021-10-11T22:26:47.3429771+06:00"
2021-10-11 22:27:17.362 +06:00 [INF] no file to delete
2021-10-11 22:27:17.362 +06:00 [INF] Worker running at: "2021-10-11T22:27:17.3629014+06:00"
2021-10-11 22:27:47.380 +06:00 [INF] no file to delete
2021-10-11 22:27:47.380 +06:00 [INF] Worker running at: "2021-10-11T22:27:47.3804912+06:00"
2021-10-11 22:28:17.387 +06:00 [INF] no file to delete
2021-10-11 22:28:17.387 +06:00 [INF] Worker running at: "2021-10-11T22:28:17.3871575+06:00"
2021-10-11 22:28:47.390 +06:00 [INF] no file to delete
2021-10-11 22:28:47.390 +06:00 [INF] Worker running at: "2021-10-11T22:28:47.3908967+06:00"
2021-10-11 22:29:17.404 +06:00 [INF] no file to delete
2021-10-11 22:29:17.404 +06:00 [INF] Worker running at: "2021-10-11T22:29:17.4045133+06:00"
2021-10-11 22:29:47.416 +06:00 [INF] no file to delete
2021-10-11 22:29:47.416 +06:00 [INF] Worker running at: "2021-10-11T22:29:47.4163721+06:00"
2021-10-11 22:30:17.432 +06:00 [INF] no file to delete
2021-10-11 22:30:17.432 +06:00 [INF] Worker running at: "2021-10-11T22:30:17.4329389+06:00"
2021-10-11 22:30:47.457 +06:00 [INF] no file to delete
